	142.AVI439	127.AVI413	108.AVI355	54.AV791T	97.AVI334	41.AV609	139.AVI434_TA	147.AVI448_2	20.AV567	111.AVI369	145.AVI446_TA	138.AVI434_T	65.AV864	51.AV770TA	90.AVI323_1	43.AV611	21.AV568	57.AV794TA	28.AV584	68.AV967	50.AV770T	30.AV587	114.AVI376_T	47.AV650TA	136.AVI429_2	70.AV971	132.AVI422_TA	104.AVI352_2	31.AV588	38.AV604T	96.AVI333	15.AV542	124.AVI406_T	14.AV541	40.AV608	102.AVI349	44.AV612T	60.AV814	19.AV555TA	17.AV551T	101.AVI340	36.AV597	73.AV996	106.AVI354_1	23.AV571	107.AVI354_2	92.AVI327	95.AVI332	143.AVI440	119.AVI403	115.AVI376_TA	63.AV833T	134.AVI427_2	39.AV604TA	22.AV570	113.AVI372_TA	135.AVI429_1	59.AV803	61.AV816	100.AVI339	34.AV591	99.AVI338	66.AV865	62.AV817	58.AV802	133.AVI427_1	24.AV572	12.AV521	42.AV610	131.AVI422_T	137.AVI433	121.AVI408	72.AV974	105.AVI353	91.AVI323_2	146.AVI448_1	112.AVI372_T	48.AV717T	120.AVI404_T	27.AV583	130.AVI420_TA	53.AV782.2TA	116.AVI383	55.AV791TA	109.AVI362_T	46.AV650T	26.AV580	33.AV590	64.AV863	37.AV598	98.AVI335	35.AV596	56.AV794T	18.AV555T	128.AVI414	45.AV612TA	69.AV968	25.AV579	140.AVI436	49.AV718T	141.AVI438	103.AVI352_1	52.AV782.2T	29.AV586	110.AVI362_TA	67.AV866	125.AVI409_T	117.AVI390_1	148.AVI470	118.AVI390_2	129.AVI420_T	149.AVI471_T	94.AVI328	32.AV589	13.AV527	144.AVI446_T	16.AV543	71.AV972	taxonomy
OTU_622	0.0325878854535826	1.69236256985454	2.01916142989595	0	0	0.00125492558291293	0.240949865010015	0.24231481921414	0	0.399571409437921	0.00745017694170237	0.129782949205639	0	0.00175929346774335	0.0511112286081884	0	0.00186108836447555	0	0	0	0	0	0.0492085622898384	0.00148478099480327	3.56776619381302	0	0.683078897904919	3.19406962046937	0	0	0.282373528475978	0	0.267056475416749	0	0	0	0	0	0.00692632696880844	0	0.424064376037808	0	0.00320389593745995	1.67509168401229	0	0.648224918971885	0.0165390794820905	0.263980338016203	0.00473507268336569	0	0.0152145247996754	0	0.140852155541023	0	0	1.43705955506425	0.770703203707435	0.00644599864634028	0	0.0249600638977636	0	0	0	0	0	0.235512417927491	0	0	0	0.426977195536147	1.72500571951499	0.271222118770999	0	0.0645360419764864	0.0322641867527045	0.429421266201789	0.985783957663173	0	0.00759301442672741	0	0.110619469026549	0	0.175356192265539	0	0.0157604412923562	0	0	0.00245911717693348	0	0	0.162074554294976	0	0	0	0.233762662144199	0	0	0	0.0966330993795138	0	0.0408329930583912	2.76774552021114	0.00274846086191733	0	0	0	0.338238784713981	4.13679756617827	0.512375521672658	1.67087782215339	0.0906139092350676	0.0515751923324881	5.17506930896396	0	0	0.0100447998071398	0	0	Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;;
OTU_3570	0.0325878854535826	1.72406959692442	1.76676625115896	0	0	0	0.185792666995675	0.209055922459258	0	0.401803651948748	0.0111752654125535	0.1253076750951	0	0	0.0352491231780609	0	0	0	0	0	0	0	0.0451078487656852	0	3.00376004101863	0	0.683078897904919	2.83196119290814	0	0	0.22271714922049	0	0.22207854271498	0	0	0.00540438295457616	0	0	0	0	0.477711074211266	0	0	1.62883668682063	0	0.719831160021105	0.0118136282014932	0.230603513669327	0	0.00376860749952892	0.0405720661324678	0	0.100608682529302	0	0	1.44166551517664	0.790852307072335	0	0	0.0499201277955272	0	0	0	0	0	0.264059377676277	0	0	0	0.362283681060974	1.52825440402654	0.340039671294984	0	0.0364768932910575	0.0436515467830708	0.401843753693417	0.944277264708934	0	0	0	0.0820725092777619	0	0.222326600908095	0	0.0052534804307854	0	0	0	0	0	0.144620371524748	0	0	0	0.265847733418894	0	0	0	0.111890957176279	0	0.0357288689260923	2.69481872482289	0	0	0	0	0.278898647044861	3.87103542329615	0.388413701913144	1.46303692232456	0.0981650683379899	0.0558731250268621	5.39839819283294	0	0	0.00803583984571188	0	0	Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;;
OTU_1	8.85575787201108	4.47861757361975	3.90697434840837	2.79647359939331	10.4587384692097	0.734131466004066	1.05088977269428	7.67805387941274	1.40888149719944	2.83718023126032	6.58968150493574	1.19042291340345	2.06190640224398	2.83598107000229	10.2046211600486	1.1726206708481	1.95228169433485	1.81262514490463	2.26020765866524	3.28598484848485	2.47849495637106	2.13788300835655	6.60624948741081	0.642910170749814	1.92274824816271	0.48850776692205	3.26869298124971	4.28039490315308	1.34296860011511	2.09598861708532	5.10260897231944	1.35365593690045	3.96368031934332	3.71455765955315	0.87347478806292	11.4843137784743	0.267106606960484	1.70391196858791	1.74081684482719	1.65512384082639	8.51194277685528	1.65029711505896	0.63116749967961	0.743383883437407	1.35273202828068	2.43084344614457	13.1296663831396	10.4439117638135	3.01624129930394	14.6674203881666	4.5187138655036	1.73527592605319	3.06353438301725	2.52238356782785	5.12704439252336	2.27995025563079	1.67741285512795	1.64695265413994	2.2599075657775	8.61122204472843	2.04951040651096	4.44044943820225	1.51629627699763	4.20453780381068	2.43282887910987	3.56123322866115	1.41014393865549	1.79787372209956	1.52160421169773	4.13391557496361	7.33470601692976	5.55802938914302	1.25655635636391	14.5037739554982	3.19035870184096	11.7716581964307	1.59281934211892	0.0240226774074727	10.208807896735	0.713547720521762	10.7158150157008	2.67882244266838	9.76358227649914	2.4382613456387	12.3509324927765	0.705336020327696	1.45143469380922	3.45014139923767	1.89766612538606	1.78361636227705	7.52773968333126	1.21562783086409	1.75582306432082	1.35800429539072	4.90443232341752	0.542885889159051	2.04474624369727	0.913093764584136	7.14322042518564	1.41130701100902	4.52735810534912	3.1011251562717	2.39116094986807	1.52091254752852	14.6022610483042	1.77012224162565	1.07999050557797	3.89551351540371	3.45440271063179	6.31265791833075	9.50313373102771	0.00859586538874801	4.60262860663312	2.26412809879832	2.00757575757576	7.94945456737047	2.12876044053515	1.37307702562188	Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Rikenellaceae;Alistipes;
OTU_4	1.09984113405841	0.796639055130593	2.22262284949006	0.424684804246848	3.80619961771794	1.30261275506362	3.04235492205417	0.774457167292251	0.0879356158360574	0.600473235412295	2.75284037995902	4.35444170955471	0.0787362826632548	1.4690100455657	5.74031970954722	1.09328903983935	0.621603513734832	0.132785330382548	0.136881113744867	0.893308080808081	0.922086762794727	0.348189415041783	3.96538997785615	0.0623608017817372	0.884464194154845	0	0.353000504286435	1.33570184128719	1.80661252158342	1.28878673452635	2.13569837734648	0.680025580899595	3.55044556264583	0.413285241959723	0.333218993482629	4.83692274434566	0.411134679341137	0.392651122206602	1.99478216701683	0.297374496224126	2.64657044322391	1.16690784814803	0.384467512495194	0.482373542141606	0.651845191875434	3.92326825959147	5.92571590586901	1.87820493370149	0.610824376154174	0.636894667420388	4.62521553910133	1.54628547866126	0.960812918154837	1.44458656233542	0.405957943925234	0.405324489889918	0.977231513197663	0.441550907274309	0.251100840641945	1.10573083067093	0.184392353015981	2.84494382022472	0.596618294557486	1.37009358378779	1.22714750813924	0.884955752212389	0.315170419469084	0.784830324507858	1.13852804588354	0.831311661005984	0.704644246167925	0.431121726106141	0.920719972831214	2.00622913100817	1.7232871512621	1.17795374857188	0.456573622496628	0.115308851555869	1.67425968109339	0.232468035645099	0.41036254638881	0.771115305835576	1.85689682166902	0.524020882623233	4.00315208825847	0.0460001752387628	0.162386580506914	0.986105987950326	0.292928328079727	0.181565737477304	0.935045505547937	1.10750708629204	0.156706318113826	2.44176441434	1.64092221662007	0.494675945334116	1.21367218182279	0.0771056956759937	2.37259688739701	0.0662196838010099	1.19436504695794	1.02792054452007	1.07464819700967	0.496107188122397	3.47790339157246	0.190506429591999	0.450985046285307	1.30782949260412	0.421470187182348	2.68155513896813	0.709808955674696	0.511453990630507	3.50652017660951	0.608408753821473	0.477272727272727	3.78488056733029	0.290733486091606	0.349268136614499	Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;;
OTU_3174	0.427715996578272	0.392374459989695	0.988977026887813	0.183903687553323	1.63300922463226	0.583540396054514	1.46892327343455	0.384852948163634	0.0344095888054138	0.292423768918255	1.43788414974856	2.14365629894831	0.0442891589980808	0.694920919758625	2.835791959675	0.475989786052508	0.344301347427976	0.0590157023922437	0.0434013287483725	0.422979797979798	0.386781360232688	0.139275766016713	1.8576232264414	0.0296956198960653	0.376004101862929	0	0.174208041076422	0.488504765483551	0.754620451493253	0.645761506047173	0.95847916003818	0.336815178000426	1.69229471790403	0.245466386133654	0.149458519135591	2.12392250114843	0.191164532432503	0.201173105821901	0.997391083508415	0.187815471299448	1.06527014944437	0.437205578989501	0.182622068435217	0.194931773879142	0.324900895010013	1.83914977010628	2.47141101975239	0.952756622265376	0.198873052701359	0.282645562464669	1.9170301247591	0.824685588619339	0.372252125358418	0.69219772778572	0.223422897196262	0.262539726405969	0.38787023977433	0.196602958713379	0.105535135921977	0.581569488817891	0.0614641176719936	1.36629213483146	0.323059687882656	0.727125833165017	0.640406425530393	0.428204396231801	0.113721285375443	0.42673989275841	0.515761765146489	0.326702248099628	0.237931823381377	0.202404566247015	0.38489113618354	0.937175566093325	0.909090909090909	0.642162076980656	0.259416830963993	0.0432408193334508	0.641609719058466	0.135606354126308	0.167713388524122	0.37551708903972	0.682636605605135	0.209217292689127	1.56028368794326	0.0175238762814335	0.0770080691063716	0.39591786548629	0.1592001783042	0.0676421374915447	0.436354569255704	0.56398118114608	0.0676686373673339	1.1597554931439	0.802126781867351	0.253626226209441	0.499151189601439	0.0405819450926283	0.996846709388668	0.0289711116629418	0.438954675377705	0.503542158633143	0.469986807387863	0.253485424588086	1.58684480986639	0.111128750595333	0.296700688345597	0.465083750043711	0.214867154249824	1.16146385198468	0.305821943668353	0.249280096273692	1.69421911900606	0.242152737839392	0.272727272727273	1.7236876469052	0.182324389582871	0.149305462980244	Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;;
OTU_1396	0.0325878854535826	1.64876540763347	1.202740290512	0.0113754858280406	0.004155239757334	0.0476871721506915	0.0174180625308445	0.551147431938043	0.00191164382252299	0.00446448502165275	0.428385174147886	0.00447527411053927	0.00492101766645342	0.0123150542742035	0	0.0991645387609391	0	0	0.0100156912496244	0.688131313131313	0.012377003527446	0.0313370473537604	0.0533092758139916	0.0148478099480327	0.961374124081354	0.00351444436634568	2.952367854032	0.471424179277833	0.0159877214299418	0.027362775679965	0.123289850461343	0.147090172671072	0.146178281280747	0.0150285542530809	0.0833047483706571	0.00540438295457616	0.0183308455757195	0.0605943089825004	0.00230877565626948	0	0.150721675820667	0.00615782505619015	0.0608740228117391	0.730168169954075	0.870489190404185	0.369337453832818	0.0850581230507513	0.309494189398307	0.535063213220323	0.214810627473149	0.16735977279643	0.130575218198062	0.216308667438	0.0507862463321044	0.0569509345794393	0.184238404495417	0.589361273423333	0.0257839945853611	0.0582262818879872	0.0249600638977636	0.0720613793395787	0	0.00781596019070943	0.0269305864135192	0.042932274337233	0.0713673993719669	0.136465542450531	0	0.040661715924412	2.32896652110626	3.74742621825669	1.65162126057564	0.00754688502320667	0.00561182973708578	0	0.232439033999133	0.342430216872471	0.00960907096298906	0.0341685649202733	0.0613457316285677	0.231944047958892	0.0120486766536809	2.33286362924691	0.00782120720333183	0.0052534804307854	0.0131429072110751	0.0368299460943516	0.516414607156031	0.01592001783042	0.302609562462174	0.0723101857623738	0.0496770988574267	0	0	3.520190676995	0.0607864509097007	0.430739605239821	0.277986323884504	2.58366392025226	0	0.0459371171906901	0.590359772190582	0.00824538258575198	0.409197899692196	0.00411099691675231	0.0238133036989998	0.142416330405887	0.765814595936637	0.0123961819759514	0.444208981987122	0.226534773087669	0	4.59492761063764	0.0121076368919696	0.0732323232323232	0.301343994214195	0.514943208416488	0	Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;;
OTU_1280	0.0366613711352805	1.44663311006302	1.12805192129391	0.0170632287420609	0.004155239757334	0.0514519488994303	0.0174180625308445	0.403858032023566	0.00382328764504597	0.00669672753247913	0.469361147327249	0	0	0.00703717387097342	0	0.052061382849493	0.00372217672895109	0	0.0133542549994992	0.688131313131313	0.0154712544093075	0.0278551532033426	0.0902156975313705	0.00296956198960653	0.828918133652367	0	2.73690001375327	0.423598537901821	0.0191852657159302	0.032835330815958	0.127266942411709	0.172671072266041	0.134933798105305	0.00500951808436028	0.0808546087126966	0.00810657443186424	0.0340429989263362	0.0727131707790004	0.00923510262507792	0	0.1634946991953	0.00307891252809508	0.0256311674996796	0.687217101133247	0.911357227512363	0.350493706188287	0.0661563179283622	0.254877567739782	0.577678867370614	0.237422272470322	0.0912871487980525	0.137447598103223	0.160973892046884	0.0677149951094726	0.0554906542056075	0.156602643821105	0.503727584122507	0.0128919972926806	0.036391426179992	0.0274560702875399	0.0678224746725446	0	0.0156319203814189	0.0201979398101394	0.0393545848091303	0.178418498429917	0.113721285375443	0	0.0642027093543348	2.41630276564774	3.43170899107756	1.48969760757803	0.0188672125580167	0.0140295743427144	0.00189789333839438	0.248197612575346	0.35799522673031	0.00640604730865937	0.0455580865603645	0.0871755133669121	0.260491007707679	0.0120486766536809	2.14185063410052	0.00391060360166592	0.0052534804307854	0.024095329886971	0.0167408845883416	0.504119021271364	0.019104021396504	0.267008437466624	0.0648298217179903	0.0467549165716957	0	0	3.14892056653069	0.0419216902825522	0.385131882332075	0.298277296430818	2.42345641338623	0	0.0765618619844835	0.59383247673288	0.0137423043095866	0.369364475828354	0	0.00793776789966661	0.15428435793971	0.681889708710704	0.0123961819759514	0.47273616431657	0.124594125198218	0	4.21501180819386	0.030269092229924	0.0429292929292929	0.233039355525644	0.431172542932466	0	Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;;
OTU_3	3.64576968511956	3.40454203162776	1.202740290512	1.90918570480614	6.19130723842766	0.558441884396255	0.264173948384475	2.19508718582221	0.655693831125385	1.19648198580294	1.42298379586515	0.617587827254419	1.61409379459672	2.04078042258229	0.893565272563845	0.909834643131616	0.634631132286161	1.96648751185583	1.14512736620706	3.06818181818182	1.5595024444582	0.828690807799443	0.865250553596326	1.21306607275427	0.354640232438899	0.667744429605679	1.31572915234035	1.07607693096027	0.386902858604592	0.604717342527226	2.91918549156857	0.22383287145598	2.42880836589548	0.566075543532712	0.565982260988876	6.70413705515173	0.154502841281064	1.10524019584081	1.32292845104241	0.555620769260868	4.80521139353685	0.735860094214723	1.07330513904908	0.29404962500413	0.218643998528751	1.48488731438909	7.04092240808997	5.25836696301241	2.07869690799754	13.9250047107594	0.502079318389289	0.742217029757405	1.32300417526032	0.750507862463321	0.884929906542056	0.465201971350928	0.453354825710256	0.435104908627969	1.39015248007569	3.08506389776358	0.542579797380357	0.341573033707865	1.03691738530078	1.32633138086582	0.490143465350077	1.64145018555524	0.396399909022972	0.680928437575375	1.10000642027094	2.26750768235484	2.10020590253946	3.41658907824961	1.74333044036074	4.62695361822722	0.540899601442399	2.92715597053146	0.684860433744941	0.477250524495123	3.47380410022779	0.345473330750355	3.70039965743648	1.9077071368328	3.45075935493972	1.7617269225505	0.719726819017599	0.976956102689915	0.793517929487394	0.479527849502029	1.09211322316681	1.13567588735804	2.58820595935669	0.277607317144443	1.64541634019517	0.683958367751528	1.08630884172893	0.176071099186719	1.95606456026554	0.450459590528174	6.18451836028888	0.720139061335982	2.51633319722336	0.909848590081956	1.80024186455585	0.673546985334058	0.850976361767729	1.32163835529449	0.931640161405174	0.944154981291744	5.37167885624561	1.15738854022333	5.74643207732387	0.137533846219968	2.26922682000205	0.608408753821473	0.282828282828283	2.35651003475501	0.305516544706433	1.49838696776602	Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Rikenellaceae;Alistipes;
OTU_6	0.582508452482789	1.99357932701835	0.108169362315855	0.13271400132714	0.880910828554808	2.50106668674548	0.0290301042180741	1.41587874756497	1.30182944313815	0.716549845975267	0.942447383125349	0.1253076750951	0.969440480291324	0.102039021129115	0	2.43201031311203	1.31951165041316	0.054800295078512	1.17183587620606	0.176767676767677	0.092827526455845	0.407381615598886	1.29172476010826	1.59910913140312	0.722098786532217	0.151121107752864	4.31852564984184	6.32664913059816	1.23425209439151	0.043780441087944	1.24482978046452	1.24920059688766	0.334523374469401	1.65063620879671	0.869799578575979	1.27813656875726	0.303768298111923	0.894372000581705	0.0138526539376169	0.0665179794185546	2.23016988121088	1.36087933741802	0.131359733435858	3.83586083853702	2.08426989251706	2.212255973468	4.65693223702864	0.109233243317049	0.989630190823429	2.15941209723007	1.25266254183994	1.20610267335578	0.915539011016651	0.079000827627718	0.982768691588785	0.294781447192667	0.322385653838404	1.07325877461566	1.49568761599767	1.68480431309904	0.0169556186681362	0.121348314606742	0.0755542818435245	0.222177337911533	1.32016743586992	0.763631173280046	1.81954056600708	1.02046496094402	2.45254349733559	2.8271065825651	0.901395561656372	1.97142047524592	0.298101958416664	0.0168354892112573	0.0132852533687607	1.51676318796045	0.560340354882225	0.650213801828927	0.926347760060744	1.64987730853674	1.79132172423637	0.319289931322543	2.70862689838735	0.0840779774358172	2.40084055686893	1.43476737054236	1.68748116650484	1.1311939013894	1.83717005763046	1.37064331232867	3.84241366413165	1.96078431372549	0.0391765795284564	0.0132165868164547	10.4413989091076	0.85101031273581	0.228038614538729	3.08625692429438	1.38846505950565	0.0124161907126893	0.959575336872193	5.5111821086262	0.376539138082674	1.08636610537751	2.27338129496403	1.39704715034132	0	1.23439521628143	0.611544977480269	1.21036759312087	0.932568149210904	0	2.64400862511551	2.55471138420559	0.77020202020202	0.333487353597043	2.00803212851406	0.0079985069453702	Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;;
OTU_23	0.0936901706790501	0.50731243311799	0.0540846811579273	0.153569058678548	0.029086678301338	1.1357076525362	0.641565303219439	0.0190050838599325	0.75509930989658	0.243314433680075	0.0223505308251071	0.161109867979414	0	2.22902482363083	0.0775480709917341	2.01304013684706	1.04965383756421	0.0189693329117926	0	0.00315656565656566	2.42898694226128	0.142757660167131	0.221438530304273	1.53674832962138	0.307639719706033	0.00351444436634568	0	1.711474737813	0.537187440046045	1.08630219449461	0.31021317212854	0.225964613088894	0.0815225030219549	2.15910229435928	0.00490027931592101	0.221579701137623	2.79152591195957	0.300547772553202	3.13531734121395	0.0782564463747701	0.091965768297356	2.04131900612704	0.00320389593745995	0.280833911520798	1.98414320160203	0.365568704303912	0.92618845099707	0.233637770428134	0.317249869785501	0	0.172431281062988	2.90358050993059	0.518134715025907	1.24332254909337	0.058411214953271	0	0.433205722345356	0.396428916749927	0	0.0524161341853035	0.135644949345089	5.7123595505618	0	0	2.20385674931129	0.264059377676277	2.59609448614225	1.55667291314915	1.90468037751193	0	0.00915122397620682	0.00202404566247015	0.00754688502320667	0.0561182973708578	0.223951413930537	0	0	0.980125238224884	0.00379650721336371	0.00322872271729304	0	3.1728181854693	0.529199937372788	0.121228711651643	0.0052534804307854	1.33400508192412	0.252787357283959	1.79515553916144	0	0.690661824913667	0.162074554294976	1.34128166915052	0.0142460289194387	2.61358004295391	1.37507448320117	5.53575920181102	0.0126688119188183	0.00202909725463141	0.0178008340962262	0.525618740170516	0.459371171906901	1.6946798166412	2.89962620932278	1.90838312511316	0	0	0	0.0209812218064832	0.00826412131730094	0.0285271823294482	0	1.26359221214596	2.03562994147243	0.608408753821473	0.358585858585859	0.00200895996142797	1.10626555300958	0.479910416722212	Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Clostridium XlVa;
